鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
八德區,房地(土地+建物)+車位,桃園市八德區建德路１８２號八樓,21.36,都市：其他:商業區,,,1090326,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,169.12,3,2,2,有,有,9420000,58520,坡道平面,35.49,1600000,預售屋、或土地及建物分件登記案件；,RPWNMLPKKHHGFFH78DA,84.66,0.0,6.21,有,
八德區,房地(土地+建物)+車位,桃園市八德區建德路１８２號十二樓,21.36,都市：其他:商業區,,,1090610,土地1建物1車位1,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,169.12,3,2,2,有,有,9550000,59867,坡道平面,35.49,1550000,預售屋、或土地及建物分件登記案件；,RPXNMLPKKHHGFFH88DA,84.66,0.0,6.21,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號十四樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,15850000,94434,坡道平面,35.02,1750000,預售屋、或土地及建物分件登記案件；,RPTNMLKKKHHGFGH08DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物),桃園市平鎮區大連街１０２之１號二樓,9.05,都市：其他:商業區,,,1110105,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,92.52000000000001,2,1,1,有,有,6596000,71293,,0.0,0,,RPSOMLPKKHHGFGH58DA,55.47,0.0,7.8,有,351.0
平鎮區,房地(土地+建物),桃園市平鎮區新富五街８５號三樓,13.15,都市：其他:住宅區,,,1110121,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,112.83,3,2,2,有,有,5500000,48746,,0.0,0,,RPOOMLQKKHHGFGH28DA,89.18,0.0,10.52,有,352.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路８３號十六樓,17.46,都市：其他:商業區,,,1101229,土地1建物1車位1,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040930,184.7,2,2,2,有,有,11200000,60639,坡道平面,38.94,0,,RPPPMLKLJHHGFGH87DA,87.39,0.0,12.41,有,358.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中正三路１１９號十三樓,17.51,都市：其他:商業區,,,1110106,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040511,185.9,3,2,2,有,有,12000000,64551,坡道平面,0.0,0,,RPRNMLRJJHHGFGH38DA,86.15,0.0,12.53,有,359.0
八德區,房地(土地+建物)+車位,桃園市八德區建德路１８２號二樓,21.36,都市：其他:商業區,,,1090229,土地1建物1車位1,二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,169.12,3,2,2,有,有,10500000,66976,坡道平面,35.49,1550000,預售屋、或土地及建物分件登記案件；,RPSPMLLKKHHGFFH18DA,84.66,0.0,6.21,有,
八德區,房地(土地+建物)+車位,桃園市八德區建德路１９８號四樓,20.97,都市：其他:商業區,,,1090527,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,164.48000000000002,3,2,2,有,有,9200000,58779,坡道平面,33.48,1500000,預售屋、或土地及建物分件登記案件；,RPUOMLRJKHHGFFH78DA,82.44,0.0,6.68,有,
八德區,房地(土地+建物)+車位,桃園市八德區建德路１８２號三樓,21.36,都市：其他:商業區,,,1090322,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,169.12,3,2,2,有,有,9250000,57996,坡道平面,35.49,1500000,預售屋、或土地及建物分件登記案件；,RPQOMLTJKHHGFFH58DA,84.66,0.0,6.21,有,
